H_axis,H_data,H_fit,V_axis,V_data,V_fit
0.0,0.0462353,0.04670643991799141,0.0,0.045184999999999996,0.044750418796119726
0.03937007874015748,0.0462302,0.04591636981665627,0.03937007874015748,0.0447377,0.044043115582336645
0.07874015748031496,0.0467422,0.04510005814511085,0.07874015748031496,0.044685300000000004,0.043310439094525366
0.11811023622047244,0.0464009,0.04425695165441136,0.11811023622047244,0.0440087,0.04255178261111617
0.15748031496062992,0.045438900000000004,0.04338650034301239,0.15748031496062992,0.0437243,0.04176653981945454
0.19685039370078738,0.0446643,0.04248815829862284,0.19685039370078738,0.0434128,0.04095410567074255
0.23622047244094488,0.043526,0.04156138456769228,0.23622047244094488,0.0431523,0.04011387726983523
0.2755905511811024,0.0424017,0.040605644051965095,0.2755905511811024,0.0429094,0.03924525479955284
0.31496062992125984,0.040923100000000004,0.03962040843145548,0.31496062992125984,0.0422728,0.038347642479073143
0.3543307086614173,0.039622399999999995,0.03860515711311108,0.3543307086614173,0.0407792,0.03742044955586546
0.39370078740157477,0.038776399999999996,0.03755937820434651,0.39370078740157477,0.0393026,0.036463091330526075
0.4330708661417323,0.0388007,0.03648256951053894,0.4330708661417323,0.0383937,0.035474990213767224
0.47244094488188976,0.0371711,0.03537423955548896,0.47244094488188976,0.037583,0.03445557681470366
0.5118110236220472,0.035681199999999996,0.03423390862375996,0.5118110236220472,0.037040300000000005,0.03340429105946981
0.5511811023622047,0.033806800000000005,0.033061109823717225,0.5511811023622047,0.036296600000000005,0.032320583339088105
0.5905511811023622,0.0328165,0.03185539016999756,0.5905511811023622,0.0348271,0.031203915685394545
0.6299212598425197,0.031531699999999996,0.030616311684048256,0.6299212598425197,0.0341452,0.030053762973712088
0.6692913385826772,0.030414600000000003,0.0293434525112821,0.6692913385826772,0.0330584,0.028869614150845532
0.7086614173228346,0.0289194,0.028036408053305102,0.7086614173228346,0.031949,0.027650973486855072
0.7480314960629921,0.028210700000000002,0.026694792113581466,0.7480314960629921,0.0310595,0.02639736184894665
0.7874015748031495,0.0264823,0.025318238054812203,0.7874015748031495,0.0300401,0.02510831799570136
0.8267716535433071,0.0258578,0.023906399966213666,0.8267716535433071,0.0291117,0.023783399889746877
0.8661417322834646,0.0234741,0.022458953838796716,0.8661417322834646,0.0291152,0.022422186026859144
0.905511811023622,0.022043300000000002,0.020975598746660676,0.905511811023622,0.027866,0.021024276779365796
0.9448818897637795,0.0213157,0.019456058032234137,0.9448818897637795,0.0301003,0.019589295751609677
0.984251968503937,0.020403,0.01790008049331293,0.984251968503937,0.0279969,0.01811689114511824
1.0236220472440944,0.0190927,0.01630744156966861,1.0236220472440944,0.0238436,0.016606737131015542
1.0629921259842519,0.0178039,0.014677944526924787,1.0629921259842519,0.0209865,0.015058535227106366
1.1023622047244095,0.015787000000000002,0.013011421635328015,1.1023622047244095,0.0193673,0.013472015676958563
1.141732283464567,0.0139512,0.01130773534097123,1.141732283464567,0.0161363,0.011846938828209308
1.1811023622047243,0.012768400000000001,0.009566779426964482,1.1811023622047243,0.0143451,0.010183096507226007
1.220472440944882,0.009573779999999999,0.0077884801619878055,1.220472440944882,0.0125887,0.008480313387159946
1.2598425196850394,0.00698066,0.005972797433606236,1.2598425196850394,0.0104823,0.006738448346345738
1.2992125984251968,0.00504794,0.004119725863676996,1.2992125984251968,0.008475090000000001,0.004957395813917319
1.3385826771653544,0.0031860200000000003,0.0022292959031345316,1.3385826771653544,0.00688444,0.0031370870994372954
1.3779527559055118,0.0010702700000000001,0.00030157490339939585,1.3779527559055118,0.00439143,0.0012774917032668462
1.4173228346456692,-0.00036764400000000003,-0.0016633318383760254,1.4173228346456692,0.00201071,-0.0006213813956587669
1.4566929133858268,-0.0028418,-0.003665280063038956,1.4566929133858268,0.00044489899999999996,-0.002559482478038562
1.4960629921259843,-0.00445862,-0.005704085564980005,1.4960629921259843,-0.0018369699999999998,-0.004536719851835812
1.5354330708661417,-0.00645571,-0.007779523242338174,1.5354330708661417,-0.00363541,-0.006552958652806244
1.574803149606299,-0.00886626,-0.00989132618472377,1.574803149606299,-0.00600561,-0.008608019681433259
1.6141732283464567,-0.0113964,-0.012039184801315134,1.6141732283464567,-0.00817479,-0.01070167827980096
1.6535433070866141,-0.0139464,-0.014222745992179486,1.6535433070866141,-0.0108969,-0.012833663251949935
1.6929133858267715,-0.0156858,-0.01644161236565135,1.6929133858267715,-0.0128949,-0.015003655831265165
1.7322834645669292,-0.0184354,-0.018695341504581672,1.7322834645669292,-0.015596400000000002,-0.01721128869843986
1.7716535433070866,-0.0194865,-0.020983445284239247,1.7716535433070866,-0.017266999999999998,-0.019456145053544698
1.811023622047244,-0.0224706,-0.023305389244608482,1.811023622047244,-0.017370299999999998,-0.021737757745706084
1.8503937007874016,-0.0257748,-0.02566059201978077,1.8503937007874016,-0.0201607,-0.02405560846386181
1.889763779527559,-0.026224,-0.028048424827082502,1.889763779527559,-0.0252408,-0.026409126992016536
1.9291338582677164,-0.0279859,-0.030468211018520666,1.9291338582677164,-0.0280252,-0.028797690532362676
1.968503937007874,-0.0323248,-0.0329192256970543,1.968503937007874,-0.0304662,-0.03122062309956427
2.0078740157480315,-0.035123499999999995,-0.0354006954001226,2.0078740157480315,-0.0313441,-0.03367719498942368
2.047244094488189,-0.0382329,-0.03791179785277182,2.047244094488189,-0.0361945,-0.036166622325060786
2.0866141732283463,-0.040897800000000005,-0.040451661792627575,2.0866141732283463,-0.039086100000000006,-0.03868806668363343
2.1259842519685037,-0.043512300000000004,-0.043019366868854686,2.1259842519685037,-0.041240599999999995,-0.04124063480651786
2.1653543307086616,-0.0461122,-0.04561394361713554,2.1653543307086616,-0.0440246,-0.043823378395743164
2.204724409448819,-0.048426800000000006,-0.04823437351257635,2.204724409448819,-0.047096799999999994,-0.046435293999341896
2.2440944881889764,-0.051161899999999996,-0.050879589102324416,2.2440944881889764,-0.0498052,-0.04907532298813453
2.283464566929134,-0.053446099999999996,-0.053548474219542355,2.283464566929134,-0.0527506,-0.05174235162630989
2.322834645669291,-0.0564018,-0.056239864280243065,2.322834645669291,-0.0554664,-0.054435211237999374
2.3622047244094486,-0.0581842,-0.05895254666433891,2.3622047244094486,-0.055534099999999996,-0.05715267847186704
2.4015748031496065,-0.0608857,-0.06168526118210106,2.4015748031496065,-0.06174929999999999,-0.05989347566555279
2.440944881889764,-0.0641284,-0.06443670062706104,2.440944881889764,-0.0632215,-0.06265627131161045
2.4803149606299213,-0.0667356,-0.06720551141621688,2.4803149606299213,-0.0671935,-0.06543968062637984
2.5196850393700787,-0.0705311,-0.06999029431822944,2.5196850393700787,-0.0700663,-0.06824226622301835
2.559055118110236,-0.0731303,-0.07278960527011301,2.559055118110236,-0.072636,-0.07106253888969716
2.5984251968503935,-0.0762952,-0.07560195628273729,2.5984251968503935,-0.07553409999999999,-0.07389895847373854
2.637795275590551,-0.07899489999999999,-0.07842581643526546,2.637795275590551,-0.0785712,-0.07674993487223472
2.677165354330709,-0.0819544,-0.08125961295845856,2.677165354330709,-0.08140570000000001,-0.07961382912944573
2.716535433070866,-0.08523359999999999,-0.08410173240657372,2.716535433070866,-0.0844036,-0.08248895464102568
2.7559055118110236,-0.0878995,-0.0869505219173836,2.7559055118110236,-0.086907,-0.08537357846487195
2.795275590551181,-0.09110499999999999,-0.08980429055963508,2.795275590551181,-0.0888915,-0.08826592273813261
2.8346456692913384,-0.0937997,-0.09266131076705904,2.8346456692913384,-0.09319179999999999,-0.0911641661996454
2.874015748031496,-0.0963164,-0.09551981985783174,2.874015748031496,-0.0964513,-0.09406644581681259
2.9133858267716537,-0.09953719999999999,-0.09837802163817715,2.9133858267716537,-0.0996163,-0.09697085851564974
2.952755905511811,-0.102747,-0.10123408808858612,2.952755905511811,-0.10282100000000001,-0.0998754630124726
2.9921259842519685,-0.105644,-0.10408616113092005,2.9921259842519685,-0.105581,-0.102778281745416
3.031496062992126,-0.109086,-0.10693235447444911,3.031496062992126,-0.108574,-0.10567730290370467
3.0708661417322833,-0.111348,-0.10977075553867137,3.0708661417322833,-0.11186700000000001,-0.10857048255232515
3.1102362204724407,-0.114757,-0.11259942745054523,3.1102362204724407,-0.114994,-0.1114557468494766
3.149606299212598,-0.116963,-0.11541641111356545,3.149606299212598,-0.117712,-0.11433099435391036
3.188976377952756,-0.120247,-0.11821972734590795,3.188976377952756,-0.12071,-0.11719409841900316
3.2283464566929134,-0.12289699999999999,-0.12100737908467009,3.2283464566929134,-0.123962,-0.12004290967014694
3.267716535433071,-0.125252,-0.12377735365303912,3.267716535433071,-0.12698199999999998,-0.12287525856178302
3.3070866141732282,-0.128136,-0.12652762508702975,3.3070866141732282,-0.12803599999999998,-0.1256889580101569
3.3464566929133857,-0.131125,-0.12925615651825034,3.3464566929133857,-0.13080699999999998,-0.12848180609762624
3.385826771653543,-0.13322900000000001,-0.13196090260897658,3.385826771653543,-0.13423700000000002,-0.1312515888441186
3.425196850393701,-0.136162,-0.1346398120356424,3.425196850393701,-0.137271,-0.13399608304110605
3.4645669291338583,-0.13861099999999998,-0.13729083001669284,3.4645669291338583,-0.140133,-0.13671305914324575
3.5039370078740157,-0.141791,-0.13991190088058925,3.5039370078740157,-0.142762,-0.1394002842126265
3.543307086614173,-0.14378100000000002,-0.1425009706696087,3.543307086614173,-0.14528,-0.14205552491036116
3.5826771653543306,-0.14649,-0.1450559897749425,3.5826771653543306,-0.14730900000000002,-0.14467655053007988
3.622047244094488,-0.14901499999999998,-0.1475749155984693,3.622047244094488,-0.148403,-0.147261136067703
3.661417322834646,-0.151104,-0.15005571523646144,3.661417322834646,-0.152538,-0.14980706532171115
3.7007874015748032,-0.15301299999999998,-0.15249636818037365,3.7007874015748032,-0.154881,-0.15231213401798085
3.7401574803149606,-0.15536499999999998,-0.15489486902976835,3.7401574803149606,-0.156805,-0.15477415295312213
3.779527559055118,-0.157968,-0.15724923021234455,3.779527559055118,-0.159598,-0.15719095115013174
3.8188976377952755,-0.159699,-0.1595574847059653,3.8188976377952755,-0.162036,-0.15956037902007553
3.858267716535433,-0.16207,-0.16181768875751734,3.858267716535433,-0.163974,-0.16188031152342283
3.8976377952755903,-0.164696,-0.164027924593386,3.8976377952755903,-0.16581600000000002,-0.16414865132458448
3.937007874015748,-0.16596000000000002,-0.1661863031162945,3.937007874015748,-0.168891,-0.16636333193315242
3.9763779527559056,-0.168625,-0.168290966583232,3.9763779527559056,-0.170549,-0.16852232082529853
4.015748031496063,-0.17036900000000002,-0.1703400912591853,4.015748031496063,-0.172196,-0.17062362253877233
4.05511811023622,-0.172647,-0.172331890041392,4.05511811023622,-0.174288,-0.17266528173493198
